Classes,Definition,Questions
ENTITY,dismed,What is a fear of everything ?
NUMERIC,count,How many continents are there ?
ENTITY,food,Which mayonnaise refers to itself as `` real '' mayonnaise ?
DESCRIPTION,definition,What is office automation ?
ENTITY,instru,What instrument does Benny Carter play ?
HUMAN,ind,What knighted actor narrates TV 's The World at War ?
ENTITY,techmeth,What eating utensils are used for handicapped kids ?
HUMAN,ind,What football coach 's story was told in the movie Run to Daylight ?
HUMAN,group,What businesses in Alaska were affected by the Exxon Valdez oil spill ?
DESCRIPTION,description of st,What does Lloyd 's Lutine Bell announce ?
NUMERIC,date,When did the Chernobyl nuclear accident occur ?
LOCATION,other loc,Where did the Maya people live ?
ENTITY,other entity,What do opposite faces of a die always add up to ?
HUMAN,ind,What was the name of Randy Craft 's lawyer ?
DESCRIPTION,definition,What is `` cat scratch fever '' ?
LOCATION,state,Kosovo is a province of what country ?
LOCATION,state,What New England state covers 5.9 square miles ?
ABBREVIATION,abb,What is the abbreviation for Original Equipment Manufacturer ?
NUMERIC,date,Hitler came to power in Germany in what year ?
HUMAN,ind,Who markets Spaghetti-o 's ?
ENTITY,substance,What did the ancients call the four great elements ?
LOCATION,other loc,Where are the Haversian canals ?
ENTITY,animal,What animal 's tail is called a brush ?
NUMERIC,count,How many people die from tuberculosis each year ?
ENTITY,vehicle,What were the names of the three ships used by Columbus ?
HUMAN,ind,Who co-starred with Julie Andrews in Mary Poppins ?
LOCATION,other loc,Where can I find the status of my tax return ?
NUMERIC,other num,What is the horsepower of the shuttle boosters ?
ENTITY,other entity,What is predicted to topple over between 2010 and 2020 ?
DESCRIPTION,manner,How do wasps make their nests ?
NUMERIC,date,When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities ?
NUMERIC,count,How many years of bad luck follow breaking a mirror ?
ENTITY,substance,What kind of crystals exist ?
ENTITY,other entity,Which is the best opening move in chess ?
ENTITY,food,What do ladybugs eat ?
HUMAN,description human,Who was Ezra Taft Benson ?
ENTITY,substance,What is the Taj Majal made of ?
LOCATION,other loc,Where is the Kentucky Horse Park ?
HUMAN,ind,What Argentine boxer was shot dead outside a Nevada brothel in May ?
LOCATION,country,What country boasts the most cars per mile of road ?
DESCRIPTION,reason,How come a doughnut has a hole in it ?
DESCRIPTION,description of st,What happened to Pompeii ?
ENTITY,other entity,What does a farrier put shoes on ?
ENTITY,lang,Name a Sioux language .
ENTITY,substance,What does saliva consist of ?
HUMAN,ind,What is Jimmy Olsen 's full name ?
NUMERIC,count,How many people have died of tuberculosis ?
ENTITY,term,What is another name for nearsightedness ?
NUMERIC,count,How many days does a typical mayfly live ?
HUMAN,ind,"What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''"
LOCATION,city,What Russian city used to be called St. Petersburg and Petrograd ?
DESCRIPTION,definition,What is the definition of a witch ?
DESCRIPTION,definition,What are the cookies in Internet ?
NUMERIC,count,How many votes in Congress dissented from the 1941 declaration of war with Japan ?
HUMAN,ind,Who is Pia Zadora 's millionaire husband and mentor ?
HUMAN,ind,What U.S. President was the first to breed mules ?
DESCRIPTION,description of st,What is the difference between molecules and compounds ?
HUMAN,ind,What astronomer-architect designed the present St. Paul 's Cathedral in London ?
DESCRIPTION,reason,Why are so many umbrellas black ?
HUMAN,ind,What feminist wrote Sexual Politics and Flying ?
HUMAN,ind,Who was the first American world chess champion ?
ENTITY,symbol,What is the zodiac sign for August 14 ?
HUMAN,ind,Who was the last woman executed in England ?
NUMERIC,count,How many school districts are there in the United States ?
NUMERIC,period,How long did the Paris Commune hold out for against the rest of France ?
HUMAN,group,What university football team did O.J. Simpson take to the Rose Bowl ?
ABBREVIATION,exp,What does snafu stand for ?
ENTITY,color,What color is Chablis ?
HUMAN,group,What NFL team did Vince Lombardi end his coaching career with ?
NUMERIC,count,How much iron is in your body ?
DESCRIPTION,description of st,What is the difference between fatalism and determinism ?
NUMERIC,date,When did Thatcher become prime minister ?
LOCATION,other loc,What are some good fractal web sites ?
LOCATION,country,What country imposed the Berlin Blockade in 1948 ?
ENTITY,food,What future movie treat was introduced to American colonists in 1603 by Native Americans ?
DESCRIPTION,manner,How do cameras take pictures ?
NUMERIC,money,How much do drugs to treat tuberculosis cost ?
HUMAN,description human,Who is Prince Naseem Hamed ?
LOCATION,other loc,What kind of habitat does the scorpion live in ?
NUMERIC,count,How many logarithmic scales are there on a slide rule ?
LOCATION,other loc,Where is Webster University ?
ENTITY,creative,What sports magazine has the largest circulation ?
ENTITY,other entity,What is the legal blood alcohol limit for the state of California ?
NUMERIC,temp,How hot should the oven be when making Peachy Oat Muffins ?
NUMERIC,period,How old is Britney Spears ?
LOCATION,other loc,Where can I get piano music for the Jamiroquai song Everyday for the midi ?
DESCRIPTION,reason,Why is Microsoft 's Windows 3 such a successful computer program ?
LOCATION,country,What country 's capital was formed when Pesth and Buda merged ?
DESCRIPTION,description of st,What is the origin of U.S. Army sergeant 's stripes ?
DESCRIPTION,definition,What is proposition 98 about ?
LOCATION,city,What town was the setting for The Music Man ?
ENTITY,other entity,What was Simple Simon fishing for in his mother 's pail ?
ENTITY,creative,What did Woody Allen call the Japanese gangster film he dubbed into English as a comedy ?
DESCRIPTION,reason,Why does a candle go out when we blow on it ?
HUMAN,title,What title does comedian Henry Youngman claim ?
ENTITY,food,What is `` the taste that beats the others cold '' ?
HUMAN,group,Who made the first airplane that could fly ?
ENTITY,sport,"What kind of sports did they play in the years 1642-1649 , the English Civil War time ?"
LOCATION,other loc,"Where can I find scientific data , `` research papers , '' on textile engineering ?"
DESCRIPTION,reason,What makes salt ?
NUMERIC,count,How many people die from snakebite poisoning in the U.S. per year ?
NUMERIC,distance,How high is the city of Denver ?
HUMAN,ind,Who was International Olympic Committee chairman at the 1936 Summer Games ?
NUMERIC,date,When was Florida admitted into the Union ?
HUMAN,group,What company has built more than 2.5 billion little green houses since 1935 ?
NUMERIC,count,How many times a year does the American Gourd Society publish The Gourd ?
LOCATION,other loc,Where can I read about Abraham Lincoln ?
NUMERIC,money,What will the increase be in the California gas tax by 2000 ?
NUMERIC,distance,How far is the longest hole in 1 on any golf course and where did it happen ?
ENTITY,food,What whisky is `` known by the company it keeps '' ?
HUMAN,ind,What appointments secretary to Richard Nixon went to jail ?
HUMAN,ind,Who released the Internet worm in the late 1980s ?
HUMAN,ind,What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?
DESCRIPTION,description of st,Where does the expression `` cloud nine '' come from ?
DESCRIPTION,definition,What is lung cancer ?
HUMAN,group,What school does Tom attend in Tom Brown 's School Days ?
HUMAN,ind,"What basketball player is credited with 23 , 924 rebounds ?"
NUMERIC,volsize,How big is a normal size penis for a 15-year-old ?
ENTITY,term,What does Playboy title its `` continuing dialog on contemporary issues between Playboy and its readers '' ?
NUMERIC,count,How many American soldiers remain unaccounted from the Vietnam war ?
LOCATION,other loc,"Where can I find a tape or book to help me say , write and understand Japanese ?"
NUMERIC,count,How many cables support the main span of the Golden Gate Bridge ?
NUMERIC,money,How much did Manchester United spend on players in 1993 ?
LOCATION,other loc,What was the birthplace of Edgar Allen Poe ?
DESCRIPTION,reason,Why were red M&Ms discontinued then brought back ?
ENTITY,other entity,What does it take to become a lawyer ?
HUMAN,ind,What American sergeant lost both of his hands in combat during World War II and then went on to act in a single movie for which he won two Oscars ?
HUMAN,ind,Who invented the fountain ?
LOCATION,other loc,What room did W.C. Fields keep his library in ?
DESCRIPTION,reason,What causes an earthquake ?
HUMAN,ind,What Batman character tools around on a Batcycle ?
ENTITY,body,What are the main blood vessels ?
DESCRIPTION,definition,What does `` saute '' mean ?
LOCATION,other loc,Where can I find the schematics to the windshield wiper mechanism ?
ENTITY,animal,What type is a snail ?
HUMAN,ind,Who was Sherlock Holmes 's archenemy ?
LOCATION,other loc,Where is `` Global Schoolhouse '' ?
NUMERIC,count,How many years of schooling after highschool does it take to become a neurosurgeon ?
ENTITY,food,What are the top vegetable crops in the world ?
LOCATION,other loc,What volcano showers ash on Sicily ?
LOCATION,other loc,Where are the U.S. headquarters for Procter & Gamble ?
DESCRIPTION,reason,Why did the Aztecs first think the Spanish were Gods ?
DESCRIPTION,description of st,What are the rules to `` snow golf '' ?
ENTITY,term,What does Warner Bros. call a flightless cuckoo ?
NUMERIC,date,When did Mount St. Helen last have a major eruption ?
ENTITY,term,How do you say `` eat the day '' in Latin ?
ENTITY,substance,What are super balls made of ?
HUMAN,ind,What 's the name of Tom Sawyer 's aunt with whom he lives ?
ENTITY,creative,What is the fastest-growing comic strip of all time ?
HUMAN,ind,Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?
HUMAN,ind,What doctor claimed in a 1946 book : `` There is no such thing as a bad boy '' ?
NUMERIC,period,How long has L.L. Cool J. been married ?
NUMERIC,weight,How much did a knight 's armor weigh ?
HUMAN,ind,What comedian created a punch-drunk pugilist named Cauliflower McPugg ?
ENTITY,creative,What is the movie Jonathan Livingstone Seagull ?
NUMERIC,distance,How tall is Prince Charles ?
NUMERIC,weight,What is the weight of air ?
ENTITY,dismed,What is a fear of children ?
DESCRIPTION,definition,What is ouzo ?
ENTITY,sport,"What race is 1 , 137 miles long ?"
LOCATION,city,What is the capital of Uruguay ?
ABBREVIATION,exp,What does the T.S. stand for in T.S. Eliot 's name ?
NUMERIC,distance,"How long is the world 's largest ship , in meters ?"
HUMAN,description human,Who is William Wordsworth ?
DESCRIPTION,definition,What is making love ?
HUMAN,description human,Who is Charles Lindbergh ?
NUMERIC,distance,How tall is the replica of the Matterhorn at Disneyland ?
LOCATION,other loc,What are the largest deserts in the world ?
LOCATION,other loc,Where is Qatar ?
DESCRIPTION,reason,Why are peanut butter cookies topped with crisscrosses ?
LOCATION,state,What is the richest state in the U.S. ?
HUMAN,ind,Who is the prime minister in Norway ?
DESCRIPTION,definition,What is a urologist ?
HUMAN,ind,What actress starred in `` The Lion in Winter '' ?
ENTITY,other entity,What 's bottled in jeroboams ?
HUMAN,ind,Who won the rugby world cup in ?
HUMAN,title,What is Nicholas Cage 's profession ?
NUMERIC,count,"How many times was pitcher , Warren Spahn , a 20-game winner in his 21 major league seasons ?"
NUMERIC,count,How many pins are used in skittles ?
DESCRIPTION,description of st,What qualifications are there for individuals donating blood ?
LOCATION,other loc,"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?"
HUMAN,ind,Who is the famous sister of actress Olivia De Havilland ?
HUMAN,ind,Which German president was pressured into appointing Hitler chancellor in 1933 ?
NUMERIC,count,"How many people have been killed in wars , armed conflicts ?"
DESCRIPTION,description of st,What is the history of the hairdryer ?
ENTITY,animal,"Which mammal lives , breeds , eats , and sleeps underground ?"
ENTITY,other entity,What trade did the 15th and 16th century Portuguese hope to control between Asia and Europe ?
DESCRIPTION,description of st,What happened in the city of Dogtown in 1899 ?
LOCATION,city,What was the largest city in the world to declare martial law in 1989 ?
ENTITY,dismed,What is a fear of sinning ?
LOCATION,other loc,Where is the Thomas Edison Museum ?
NUMERIC,money,What was the first minimum wage ?
LOCATION,mount,What is the name of the highest mountain in Africa ?
LOCATION,mount,What mountain range extends from the Gulf of St. Lawrence to Alabama ?
NUMERIC,count,How many types of lemurs are there ?
ENTITY,plant,What are some colorful flowers that will bloom in the fall in New England ?
ENTITY,other entity,What 's the second-most-used murder weapon in the U.S. ?
HUMAN,group,What businesses or agencies would do an employment verification ?
HUMAN,ind,"What famous coach said `` if you can 't beat 'em in the alley , you can 't beat 'em on the ice '' ?"
HUMAN,ind,What onetime member of Ronald Reagan 's cabinet called federal policy toward Indians `` an example of the failure of socialism '' ?
NUMERIC,count,How many claws has a lobster called a pistol lost ?
HUMAN,ind,Who was Darth Vader 's son ?
ENTITY,lang,What are the four most widely-used languages in North America ?
ENTITY,event,What war was fought by the Spanish as far as the Philippines ?
DESCRIPTION,manner,How do you make a million bucks ?
HUMAN,ind,Who invented the process to make condensed milk ?
LOCATION,city,What is the largest city in Connecticut ?
NUMERIC,other num,What is the population of the United States ?
HUMAN,ind,What actor and actress have made the most movies ?
DESCRIPTION,definition,What is the definition of spamming ?
HUMAN,ind,Who found Hawaii ?
ABBREVIATION,exp,What does IQ stand for ?
LOCATION,other loc,Where can I find free piano scores for popular music ?
NUMERIC,date,When did the American Civil War end ?
LOCATION,country,What country is the largest diamond producer ?
NUMERIC,period,How long does it take the moon to revolve around the Earth ?
ENTITY,food,What beer is ` rockin ' America ? ''
ENTITY,dismed,What is a fear of women ?
HUMAN,ind,Who protects DC Comics ' realm of dreams ?
ENTITY,term,What are dinosaur droppings called ?
DESCRIPTION,description of st,What was the infamous feat of Germany 's U-2 submarine ?
ENTITY,creative,What Homerian epic chronicles events toward the end of the Trojan Wars ?
NUMERIC,date,When did the vesuvius last erupt ?
ENTITY,other entity,What is widely used to detect prenatal birth defects ?
NUMERIC,date,When did the supercontinent Pangaea break up ?
ENTITY,animal,What kind of mammal is a colt ?
HUMAN,ind,Who created Harry Lime ?
DESCRIPTION,reason,Why do many Native American students not complete college ?
ENTITY,color,What color are a cherry tree 's flowers ?
HUMAN,ind,Who was President Cleveland 's wife ?
ENTITY,animal,What class of animals makes up more than two-thirds of known species ?
ENTITY,animal,What was the name of Sergeant Preston of the Yukon 's lead dog ?
ENTITY,creative,What film featured a snarly character named Kid Shelleen ?
HUMAN,group,What company named one of its pens `` The Banana '' ?
LOCATION,city,What 's the capital of Monaco ?
NUMERIC,weight,What do Englishmen weigh themselves in ?
NUMERIC,volsize,How big is the Electoral College ?
ENTITY,other entity,"What is it that walks on four legs , then on two legs , then on three ?"
ENTITY,event,What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?
HUMAN,ind,Who invented the Moog Synthesizer ?
HUMAN,ind,Who makes the `` Die Hard '' car battery ?
NUMERIC,period,How long does it take to travel from Tokyo to Niigata ?
LOCATION,state,What state is the Filenes store located in ?
DESCRIPTION,manner,How does a bill become law ?
NUMERIC,money,What is the starting salary of a radiographer ?
DESCRIPTION,definition,What is a disaccharide ?
DESCRIPTION,reason,Colin Powell is most famous for what ?
ENTITY,sport,What star-faring race brought about the Inhumans on Marvel 's Earth ?
DESCRIPTION,manner,How do you buy stocks ?
DESCRIPTION,definition,What does appropriates money mean ?
HUMAN,ind,What is the name of Dolly Parton 's rarely seen husband ?
LOCATION,other loc,Where is the official `` zero '' of the sea level ?
HUMAN,ind,Whose old London come-on was : `` Buy my sweet lavender '' ?
DESCRIPTION,manner,How did former WWF wrestler Rick Rude die ?
HUMAN,ind,Who wrote the lyrics to Porgy and Bess ?
DESCRIPTION,definition,What is a `` False Moon '' ?
ENTITY,other entity,What 1976 Deep Throat clone provides the leading lady with a second larynx ?
ENTITY,other entity,What line of luggage is named after a famous American flier ?
ENTITY,word,What is a word whose letters can be rearranged to form a different word ?
NUMERIC,ord,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?
NUMERIC,count,How many American actors were nominated for the best actor Oscar for 1983 ?
NUMERIC,date,"When did Lucelly Garcia , a former ambassador of Columbia to Honduras , die ?"
ENTITY,animal,"In Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?"
NUMERIC,period,How long was the longest sneezing attack ?
DESCRIPTION,manner,How can I get rich quick ?
DESCRIPTION,manner,How is the word ` qigong ' pronounced ?
ENTITY,creative,What program do I need to run a .tbk file ?
LOCATION,other loc,What is the seafaring name for the southern tip of South America ?
HUMAN,ind,What two New York Yankee pitchers swapped wives and families ?
ENTITY,dismed,What are the 10 plagues of Egypt ?
DESCRIPTION,description of st,"What is the history of Hot Wheels cars , and how are they produced ?"
ENTITY,term,What is the rounded part on the top of a matchbook called ?
NUMERIC,date,When did Nixon visit China ?
NUMERIC,date,What 's the third month of the Gregorian calendar ?
LOCATION,country,What country owns Corsica ?
NUMERIC,count,How many queen bees reign in a hive ?
ENTITY,sport,"What sport features slotbacks , tailbacks , and touchbacks ?"
ENTITY,food,What meat complemented sweet potatoes and peas in the first TV dinner ?
ABBREVIATION,exp,What is RAM in the computer ?
DESCRIPTION,definition,What is a `` repeating voter '' ?
DESCRIPTION,definition,What are dingoes ?
LOCATION,other loc,Where can I find a world atlas map online at no charge ?
ENTITY,creative,What Leoncavallo opera features a prologue by a clown ?
DESCRIPTION,manner,How can I get someone 's email address ?
NUMERIC,ord,What chapter of the Bible has the most verses ?
LOCATION,other loc,What ocean did the Titanic sink in ?
DESCRIPTION,manner,How did P.T. Barnum bill the diminutive Charles S. Stratton ?
NUMERIC,date,In what year was the Wall built ?
HUMAN,ind,Name one of King Henry VIII 's wives .
LOCATION,state,What southwestern state is dubbed The Silver State ?
DESCRIPTION,definition,What are pomegranates ?
DESCRIPTION,reason,Why do pharmacists work on raised floors ?
HUMAN,title,What does Robin Williams do ?
LOCATION,country,What country did the Allies invade in World War II 's Operation Avalanche ?
LOCATION,other loc,What famed river was Hernando de Soto the first European to see ?
ENTITY,sport,What chess outcome results when a player has no legal move ?
DESCRIPTION,manner,How do they find an epicenter ?
NUMERIC,date,When was Christ born ?
LOCATION,other loc,Where do quality drinks begin ?
ENTITY,color,"In order from the top , the four stripes on a can of Pepsi are what colors ?"
ENTITY,substance,What kind of substance is dextropropoxyphen napsylate ?
HUMAN,ind,Who is the French literary charcter who is chiefly famous for his enormous nose ?
ENTITY,other entity,What were first used by John L. Sullivan and James J. Corbett in 1892 ?
LOCATION,country,"What country surrounds San Marino , the world 's smallest Republic ?"
HUMAN,ind,Who killed Martin Luther King ?
HUMAN,ind,Who owns the rights on a TV program ?
DESCRIPTION,reason,What did Cool Hand Luke go to jail for ?
DESCRIPTION,description of st,What was the V-8 Juice slogan : `` the tastebud '' ?
ENTITY,creative,What was Mae West 's last film ?
ENTITY,letter,What letter does Gorbachev 's middle name start with ?
HUMAN,ind,Who invented Astroturf ?
DESCRIPTION,reason,What makes you fat ?
ENTITY,animal,Name a flying mammal .
NUMERIC,date,What season does a hiemal activity normally take place in ?
LOCATION,other loc,What direction do the best surfing beaches face ?
NUMERIC,distance,What is the world record for the longest hair ?
ENTITY,word,What English word contains the most letters ?
DESCRIPTION,manner,How do I know if I 'm jealous of someone ?
HUMAN,ind,What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?
DESCRIPTION,manner,How does James Bond like his martinis ?
LOCATION,other loc,What California bay 's largest island is Angel Island ?
ENTITY,vehicle,What was the name of the flight that Fawaz Younis hijacked ?
HUMAN,ind,What former African leader held his country 's boxing title for nine years ?
DESCRIPTION,definition,What is a wet dream ?
LOCATION,other loc,"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?"
HUMAN,group,"What camera company said , `` If you haven 't got the time , we 've got the camera ? ''"
DESCRIPTION,description of st,What happened to Pepsi Clear ?
NUMERIC,money,How much does one ton of cement cost ?
DESCRIPTION,definition,What is a Mexican hairless ?
HUMAN,ind,What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?
LOCATION,other loc,Where is the oldest living thing on earth ?
ENTITY,other entity,What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?
HUMAN,ind,"Who stopped making diary entries on May 31 , 1669 , because he thought he was going blind ?"
HUMAN,ind,What journalist can be found in and around Walden Puddle ?
DESCRIPTION,manner,How did Socrates die ?
NUMERIC,count,How many sides does an obelisk have ?
ENTITY,creative,What was Edward Albee 's first full-length play ?
ENTITY,other entity,What was lost and regained by poet John Milton ?
HUMAN,ind,What woman pitcher has struck out Ted Williams and Hank Aaron ?
DESCRIPTION,manner,How can scientists predict weather by observing clouds ?
ENTITY,creative,What songs were popular in 1948 ?
NUMERIC,date,In what year was the cannon invented ?
NUMERIC,count,How many languages does the Pope speak ?
LOCATION,other loc,What bay divides Maryland 's Eastern and Western Shores ?
HUMAN,ind,"What is the real name of the singer , Madonna ?"
HUMAN,ind,"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''"
ENTITY,color,What color were Ernest Hemingway 's eyes ?
DESCRIPTION,description of st,What is the origin of the expression `` four-letter word '' ?
HUMAN,ind,Who was the first woman in space ?
ENTITY,animal,What is the only animal that can turn its stomach inside out ?
HUMAN,group,What professional sports league originated the college draft ?
DESCRIPTION,description of st,What is the difference between a board of directors and an advisory board ?
HUMAN,ind,Who discovered imaginary numbers ?
HUMAN,ind,Who does the voices of the Simpsons ?
NUMERIC,count,How many feet high is the hurdle in front of a runner 's steeplechase water jump ?
ENTITY,religion,What religion has the most members ?
NUMERIC,count,How many calories are there in a glass of water ?
HUMAN,ind,"Who is the richest person in the world , without owning a business ?"
ABBREVIATION,exp,What is SVHS ?
NUMERIC,other num,What is the chemical reactivity of neon ?
LOCATION,other loc,Where can I find info on Alexander Mackenzie ?
DESCRIPTION,description of st,What is the cultural origin of the ceremony of potlatch ?
LOCATION,city,What Georgia town did Scarlett O 'Hara condemn as being full of pushy people ?
NUMERIC,count,How many countries watch MTV Europe ?
ABBREVIATION,exp,What is SAP ?
ENTITY,other entity,What layer of the atmosphere contains most of the ozone layer ?
NUMERIC,code,What is the airport code for Los Angeles International ?
DESCRIPTION,reason,"What was the claim to fame of Explorer I , launched February 1 , 1958 ?"
DESCRIPTION,reason,"In the song `` Yankee Doodle , '' why did Yankee Doodle stick a feather in his cap and call it macaroni ?"
ABBREVIATION,exp,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?"
LOCATION,other loc,Where did the real St. Nicholas live ?
HUMAN,group,"Who manufactures the software , `` PhotoShop '' ?"
NUMERIC,count,How many eyes does a bat have ?
ENTITY,term,How do you say 2 in Latin ?
ENTITY,sport,What was Dwight Eisenhower 's favorite card game ?
ENTITY,other entity,"What is the high pitched sound that you hear in your ear every now and then , but then it goes away , after a while ?"
DESCRIPTION,description of st,What is the origin of the word nevermind ?
HUMAN,ind,Who was the second man to walk on the moon ?
DESCRIPTION,definition,What is power steering ?
LOCATION,other loc,Where did Dikembe Mutombo go to college ?
HUMAN,ind,What author was appointed U.S. ambassador to Spain in 1842 ?
LOCATION,other loc,What body of water does the Yukon River empty into ?
HUMAN,ind,Who is Westview High 's band director in Funky Winkerbean ?
DESCRIPTION,manner,How does a chick breathe inside an egg ?
LOCATION,other loc,What is Mark McGwire 's e-mail address ?
NUMERIC,count,How many maids were milking ?
LOCATION,city,The Kentucky Horse Park is located near what city ?
ENTITY,symbol,What is the celtic symbol for `` life '' ?
ENTITY,food,What kind of fruit is a Yellow Transparent ?
ENTITY,creative,What song put James Taylor in the limelight ?
ENTITY,food,"What drink is formed of tequila , orange juice and galliano ?"
ENTITY,creative,Name four comic strips about pilots .
NUMERIC,date,What geological time do we live in ?
DESCRIPTION,manner,How do you dunk ?
LOCATION,other loc,Where is the massive North Korean nuclear complex located ?
DESCRIPTION,manner,How do plants make food ?
LOCATION,other loc,Where is Microsoft 's corporate headquarters located ?
DESCRIPTION,manner,How did the Hohenzollerns build their power around 17 ?
NUMERIC,date,When was China 's first nuclear test ?
ENTITY,animal,What is the name given to a group of geese ?
DESCRIPTION,reason,"Why was Washington , DC originally called District of Columbia ?"
DESCRIPTION,manner,How do I find a snowboarding website ?
HUMAN,ind,What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?
NUMERIC,money,How much can a person be fined for having a dog on a beach ?
DESCRIPTION,reason,Why do movie and TV stars get paid so much ?
DESCRIPTION,definition,What is a turnkey contract ?
DESCRIPTION,description of st,What are people doing to help prevent the extinction of birds ?
DESCRIPTION,reason,Why is the mile 528 feet ?
LOCATION,other loc,What Asian gulf were the destroyers Maddox and C Turner Joy shot up in ?
DESCRIPTION,manner,How is carbon dioxide removed from natural gas ?
HUMAN,description human,Who is Edmund Kemper ?
HUMAN,ind,"What was Mao , the Chinese leader 's , full name ?"
NUMERIC,date,When is Dick Clark 's birthday ?
HUMAN,ind,"Who is the director of the international group called the Human Genome Organization , HUGO , that is trying to coordinate gene-mapping research worldwide ?"
HUMAN,group,What radio station did Paul Harvey work for ?
HUMAN,ind,What character narrates Treasure Island ?
ABBREVIATION,abb,What is the correct way to abbreviate cc. at the bottom of a business letter ?
HUMAN,ind,Who starred with Charlie Chaplin in Modern Times and The Great Dictator ?
NUMERIC,code,What seven digits follow the area code in the number for long distance information ?
HUMAN,ind,What Catch-22 character is elected mayor of half a dozen Italian cities ?
HUMAN,ind,"Whom does Uncle Duke 's girl friend , Honey , room with ?"
HUMAN,ind,"When called upon to surrender , what American general replied , `` Sir , I have not yet begun to fight . '' ?"
NUMERIC,date,When was the bar-code invented ?
ENTITY,other entity,What has to be produced in a writ of habeas corpus ?
HUMAN,group,What team did Babe Ruth play his first major league game for ?
ENTITY,other entity,What class is categorized as the bourgeoisie ?
HUMAN,ind,What relative of Leo Tolstoy translated War and Peace eight times ?
DESCRIPTION,manner,How does the Nintendo `` Zapper '' work ?
NUMERIC,count,How many cards is each player dealt in Contract Bridge ?
HUMAN,ind,Who was the second person ever to wear Iron Man 's armor ?
DESCRIPTION,definition,What is InterLata Internet service ?
HUMAN,ind,Who is the director and editor of the movie Big starring Tom Hanks ?
DESCRIPTION,definition,What is the `` fourth dimension '' ?
LOCATION,other loc,What is the Homelite Inc. home page ?
NUMERIC,period,How old was Stevie Wonder when he signed with Motown Records ?
DESCRIPTION,definition,What is `` alternative '' anymore ?
DESCRIPTION,reason,Why do they call a hamburger a hamburger when there is no ham ?
HUMAN,ind,Who won two gold medals in skiing in the Olympic Games in Calgary ?
NUMERIC,date,What year was the Avery Dennison company founded ?
NUMERIC,ord,Where does the U.S. rank among world countries in area ?
HUMAN,group,What are the four railways in Monopoly ?
LOCATION,other loc,What are the names of all the seas in the world and what ocean do they drain into ?
ABBREVIATION,exp,What does BMW stand for ?
LOCATION,mount,Name the highest mountain .
DESCRIPTION,definition,What is a biologist ?
DESCRIPTION,description of st,What revelation did Alexander Butterfield make to the Senate Watergate committee ?
LOCATION,other loc,What island is home to statues called Mauis ?
ENTITY,dismed,What is a fear of black people ?
ENTITY,food,What 's the most extensively grown and eaten food ?
ENTITY,event,What was the worst hurricane ?
DESCRIPTION,manner,How can I get started in writing for television ?
LOCATION,other loc,Where was Pythagoras born ?
ENTITY,creative,What 1927 silent film received an international revival in 1981 ?
NUMERIC,money,What is the price for AAA 's liability auto insurance ?
ABBREVIATION,exp,What is LMDS ?
HUMAN,ind,Who are the top ten richest people in the world ?
HUMAN,ind,Who is the leader of Brunei ?
LOCATION,city,What is the capital of Italy ?
ENTITY,sport,What game does Garry Kasparov play ?
DESCRIPTION,manner,How do you get a pointsettia to turn red ?
ENTITY,other entity,What is kept in Fort Knox that is so valuable ?
LOCATION,other loc,What is the greatest hiking Web site ?
NUMERIC,count,"What is the population of Arcadia , Florida ?"
ENTITY,creative,What Stephen King novel is set in a graveyard for pets ?
HUMAN,ind,Who were the head writers for the Smothers Brothers Comedy Hour ?
HUMAN,ind,Who portrayed Prewett in From Here to Eternity ?
ENTITY,creative,What was the sequel to The Pink Panther ?
NUMERIC,count,How many people live in cities ?
NUMERIC,distance,How high must a mountain be to be called a mountain ?
HUMAN,ind,What Scottish poet penned To a Mouse and To a Louse ?
HUMAN,ind,What is the name of the inventor of silly putty ?
LOCATION,other loc,What ocean surrounds the Madeira Islands ?
HUMAN,ind,What famous communist leader died in Mexico City ?
ENTITY,other entity,What was John Steinbeck 's travelling companion Charley ?
LOCATION,city,What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?
NUMERIC,count,How many mines can still be found in the Falklands after the war ended ?
DESCRIPTION,manner,How can I get in touch with Michael Moore of `` Roger & Me '' ?
DESCRIPTION,manner,How is ` qigong ' properly pronounced ?
NUMERIC,count,How many gallons of water go over Niagra Falls every second ?
ENTITY,other entity,What turns blue litmus paper red ?
HUMAN,ind,Who was the first woman to run the mile in less than 4 36893 minutes ?
NUMERIC,count,How many copies of an album must be sold for it to be a gold album ?
ENTITY,food,What is `` the soft drink for adults '' ?
